"filename", "language", "YAML", "Markdown", "Gradle", "Dart", "Java Properties", "XML", "Kotlin", "Swift", "JSON", "C++", "comment", "blank", "total"
"/Users/guosurui/Code/genius_lens/lib/pages/generate/generate_page.dart", "Dart", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 1, 20, 243
"/Users/guosurui/Code/genius_lens/lib/pages/generate/generate_result_page.dart", "Dart", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 6, 136
"/Users/guosurui/Code/genius_lens/lib/pages/generate/model_select_page.dart", "Dart", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 11, 163
"/Users/guosurui/Code/genius_lens/lib/pages/generate/multi_generate_page.dart", "Dart", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 6, 96
"/Users/guosurui/Code/genius_lens/lib/pages/generate/solo_generate_page.dart", "Dart", 0, 0, 0, 223, 0, 0, 0, 0, 0, 0, 4, 8, 235
"/Users/guosurui/Code/genius_lens/lib/pages/index.dart", "Dart", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 2, 9, 126
"/Users/guosurui/Code/genius_lens/lib/pages/login/login_page.dart", "Dart", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 1, 9, 196
"/Users/guosurui/Code/genius_lens/lib/pages/message/message_page.dart", "Dart", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 2, 12, 185
"/Users/guosurui/Code/genius_lens/lib/pages/profile/about_page.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 4, 71
"/Users/guosurui/Code/genius_lens/lib/pages/profile/follower_list_page.dart", "Dart", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 6, 84
"/Users/guosurui/Code/genius_lens/lib/pages/profile/help_page.dart", "Dart", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 7, 124
"/Users/guosurui/Code/genius_lens/lib/pages/profile/manage_model_page.dart", "Dart", 0, 0, 0, 293, 0, 0, 0, 0, 0, 0, 2, 17, 312
"/Users/guosurui/Code/genius_lens/lib/pages/profile/manage_task_page.dart", "Dart", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 12, 173
"/Users/guosurui/Code/genius_lens/lib/pages/profile/profile_history.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 42
"/Users/guosurui/Code/genius_lens/lib/pages/profile/profile_page.dart", "Dart", 0, 0, 0, 265, 0, 0, 0, 0, 0, 0, 10, 28, 303
"/Users/guosurui/Code/genius_lens/lib/pages/profile/settings_page.dart", "Dart", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 13, 110
"/Users/guosurui/Code/genius_lens/lib/provider/user_provider.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/guosurui/Code/genius_lens/lib/router.dart", "Dart", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 4, 11, 130
"/Users/guosurui/Code/genius_lens/lib/utils/debug_util.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/guosurui/Code/genius_lens/lib/utils/package_util.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 7, 25
"/Users/guosurui/Code/genius_lens/pubspec.yaml", "YAML", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 24, 150
"/Users/guosurui/Code/genius_lens/test/widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 57, 13, 101, 5267, 8, 251, 4, 19, 166, 1, 248, 578, 6713
